Airline Name,Flight Number,Number of Stops,Flight Duration,Ticket Class,Refundable Ticket,Baggage Allowance,Season,Weather Condition,Flight Price
Akasa Air,AI1446,0,2h 57m,Business,No,30kg,Autumn,Snowy,8620
Akasa Air,AI1396,2,4h 53m,Business,Yes,15kg,Autumn,Snowy,11577
IndiGo,AI1452,1,2h 8m,Business,Yes,15kg,Spring,Snowy,13134
AirAsia India,AI1329,0,2h 35m,Economy,Yes,15kg,Summer,Foggy,6017
SpiceJet,AI1252,0,1h 31m,Economy,Yes,20kg,Spring,Snowy,5190
GoAir,AI1393,2,3h 15m,Business,No,30kg,Summer,Windy,13066
Akasa Air,AI1369,0,2h 3m,Business,Yes,30kg,Spring,Stormy,6248
SpiceJet,AI1430,0,2h 57m,Economy,No,30kg,Summer,Rainy,6339
Air India,AI1499,0,2h 32m,Business,Yes,25kg,Summer,Snowy,8738
GoAir,AI1201,1,3h 57m,Economy,Yes,15kg,Spring,Windy,7157
IndiGo,AI1358,0,1h 18m,Economy,No,15kg,Winter,Foggy,4634
GoAir,AI1263,0,1h 14m,Business,No,30kg,Winter,Stormy,6735
Vistara,AI1333,0,2h 38m,Business,No,30kg,Autumn,Stormy,9486
AirAsia India,AI1345,2,4h 35m,Economy,Yes,30kg,Autumn,Stormy,8083
IndiGo,AI1242,2,4h 13m,Economy,No,30kg,Winter,Rainy,8597
Vistara,AI1243,0,2h 46m,Economy,Yes,25kg,Autumn,Rainy,8326
AirAsia India,AI1338,2,4h 46m,Economy,No,25kg,Spring,Stormy,4896
Akasa Air,AI1013,0,2h 42m,Business,No,25kg,Autumn,Windy,10315
Akasa Air,AI1034,1,2h 35m,Economy,Yes,30kg,Spring,Foggy,6658
Air India,AI1180,2,3h 5m,Business,Yes,15kg,Summer,Rainy,13980
Air India,AI1429,0,2h 19m,Business,Yes,25kg,Summer,Windy,7458
SpiceJet,AI1045,2,3h 8m,Business,Yes,25kg,Summer,Stormy,12216
Air India,AI1084,0,1h 25m,Business,No,20kg,Summer,Clear,7855
GoAir,AI1141,0,1h 43m,Business,No,15kg,Summer,Snowy,11655
Air India,AI1137,0,1h 29m,Economy,No,30kg,Summer,Snowy,6734
GoAir,AI1493,1,2h 59m,Business,Yes,15kg,Summer,Stormy,12770
Air India,AI1173,0,1h 25m,Business,Yes,15kg,Summer,Stormy,7517
IndiGo,AI1187,1,2h 50m,Economy,Yes,20kg,Spring,Windy,6969
AirAsia India,AI1209,2,4h 41m,Economy,No,30kg,Winter,Foggy,5044
Air India,AI1312,2,3h 50m,Business,Yes,20kg,Winter,Clear,11856
IndiGo,AI1311,0,2h 47m,Economy,Yes,30kg,Summer,Clear,4209
Akasa Air,AI1353,1,2h 42m,Business,Yes,25kg,Summer,Stormy,16925
GoAir,AI1209,2,3h 16m,Economy,Yes,25kg,Autumn,Rainy,6173
SpiceJet,AI1251,2,3h 2m,Economy,No,15kg,Winter,Stormy,3658
Air India,AI1095,2,3h 8m,Business,No,25kg,Spring,Snowy,6655
Akasa Air,AI1399,2,4h 13m,Economy,Yes,30kg,Autumn,Clear,6281
Air India,AI1150,0,2h 1m,Economy,Yes,25kg,Autumn,Clear,5269
Akasa Air,AI1065,2,3h 57m,Business,No,30kg,Autumn,Rainy,8822
SpiceJet,AI1462,2,4h 53m,Economy,No,15kg,Spring,Foggy,4164
GoAir,AI1197,1,3h 37m,Business,No,25kg,Summer,Foggy,7074
IndiGo,AI1215,0,1h 4m,Business,Yes,30kg,Autumn,Foggy,11001
GoAir,AI1250,0,2h 55m,Economy,No,30kg,Summer,Clear,4436
AirAsia India,AI1249,2,3h 57m,Business,Yes,20kg,Winter,Stormy,7700
GoAir,AI1237,0,2h 14m,Economy,No,15kg,Summer,Windy,3942
GoAir,AI1236,2,3h 17m,Economy,Yes,20kg,Winter,Snowy,6095
GoAir,AI1370,0,1h 15m,Business,No,25kg,Winter,Snowy,7855
SpiceJet,AI1481,1,2h 32m,Business,No,25kg,Winter,Foggy,13616
Akasa Air,AI1190,0,1h 24m,Business,Yes,30kg,Winter,Foggy,14453
AirAsia India,AI1408,0,1h 30m,Business,No,20kg,Summer,Foggy,9608
AirAsia India,AI1095,0,2h 54m,Business,Yes,20kg,Spring,Rainy,9339
IndiGo,AI1370,2,3h 4m,Economy,Yes,25kg,Winter,Rainy,6897
SpiceJet,AI1024,2,3h 23m,Business,Yes,15kg,Spring,Clear,16213
IndiGo,AI1421,0,1h 47m,Economy,No,20kg,Spring,Windy,7580
Vistara,AI1213,1,2h 10m,Economy,Yes,15kg,Autumn,Clear,6594
Air India,AI1474,1,3h 1m,Business,No,15kg,Winter,Foggy,13885
Akasa Air,AI1134,0,1h 52m,Economy,No,30kg,Autumn,Snowy,3466
Vistara,AI1107,0,1h 7m,Economy,Yes,25kg,Winter,Stormy,4455
SpiceJet,AI1245,1,3h 48m,Business,Yes,15kg,Spring,Foggy,14081
GoAir,AI1445,2,4h 0m,Economy,No,25kg,Winter,Rainy,5240
GoAir,AI1073,2,4h 31m,Business,Yes,15kg,Summer,Foggy,11498
Vistara,AI1042,0,1h 14m,Economy,No,30kg,Autumn,Foggy,6178
IndiGo,AI1169,0,2h 52m,Economy,No,20kg,Winter,Foggy,4756
Akasa Air,AI1385,1,2h 28m,Economy,No,20kg,Autumn,Rainy,5558
IndiGo,AI1025,2,3h 16m,Economy,No,25kg,Spring,Rainy,8214
Air India,AI1303,0,1h 46m,Economy,No,25kg,Winter,Foggy,5413
AirAsia India,AI1127,1,3h 35m,Business,No,25kg,Winter,Stormy,13928
Akasa Air,AI1239,1,3h 52m,Economy,No,15kg,Spring,Stormy,4903
IndiGo,AI1438,0,2h 31m,Economy,No,25kg,Winter,Clear,5088
AirAsia India,AI1313,1,2h 20m,Economy,No,15kg,Summer,Rainy,8572
Vistara,AI1214,2,4h 41m,Economy,No,25kg,Summer,Stormy,5156
AirAsia India,AI1113,1,3h 53m,Business,Yes,25kg,Winter,Foggy,8170
SpiceJet,AI1344,2,3h 13m,Economy,Yes,20kg,Autumn,Foggy,4723
Air India,AI1267,0,2h 30m,Business,No,25kg,Spring,Snowy,5409
SpiceJet,AI1178,0,1h 9m,Economy,No,25kg,Spring,Clear,5340
IndiGo,AI1002,0,1h 44m,Economy,No,30kg,Spring,Foggy,5980
AirAsia India,AI1076,0,1h 52m,Economy,Yes,25kg,Spring,Clear,7449
AirAsia India,AI1277,2,4h 54m,Business,Yes,20kg,Spring,Rainy,14405
AirAsia India,AI1216,2,4h 46m,Economy,Yes,30kg,Winter,Stormy,8036
Air India,AI1051,0,1h 0m,Economy,No,30kg,Autumn,Windy,4885
Vistara,AI1034,1,2h 57m,Economy,No,15kg,Spring,Rainy,3622
GoAir,AI1463,1,3h 23m,Business,No,25kg,Autumn,Foggy,9082
Air India,AI1307,0,2h 22m,Economy,No,20kg,Spring,Snowy,3670
Vistara,AI1303,0,2h 26m,Business,No,15kg,Summer,Stormy,10288
GoAir,AI1151,2,3h 27m,Business,Yes,15kg,Spring,Foggy,10835
IndiGo,AI1107,0,1h 56m,Business,No,30kg,Spring,Foggy,11957
AirAsia India,AI1326,0,2h 5m,Business,No,20kg,Winter,Windy,10809
GoAir,AI1163,0,2h 25m,Business,Yes,15kg,Winter,Windy,15469
GoAir,AI1288,0,2h 32m,Economy,No,30kg,Autumn,Rainy,3348
GoAir,AI1047,2,4h 32m,Business,No,30kg,Autumn,Stormy,10772
GoAir,AI1425,1,3h 49m,Economy,No,15kg,Autumn,Foggy,7835
Air India,AI1406,1,2h 30m,Economy,Yes,25kg,Autumn,Foggy,5000
Akasa Air,AI1067,0,1h 42m,Economy,No,25kg,Spring,Stormy,6519
Akasa Air,AI1043,0,1h 16m,Economy,Yes,20kg,Winter,Windy,3855
GoAir,AI1218,0,1h 38m,Economy,Yes,25kg,Autumn,Windy,4430
GoAir,AI1223,1,2h 43m,Economy,Yes,20kg,Winter,Stormy,9266
AirAsia India,AI1062,2,4h 4m,Business,Yes,25kg,Summer,Snowy,9066
GoAir,AI1406,0,1h 9m,Business,Yes,30kg,Winter,Snowy,11912
IndiGo,AI1307,1,3h 9m,Economy,Yes,20kg,Spring,Stormy,8254
Vistara,AI1238,2,3h 11m,Business,Yes,30kg,Spring,Foggy,8453
AirAsia India,AI1140,2,3h 3m,Business,No,20kg,Spring,Stormy,6169
Air India,AI1429,0,2h 52m,Economy,Yes,30kg,Autumn,Snowy,7227
Vistara,AI1146,2,3h 18m,Business,Yes,20kg,Summer,Snowy,10696
SpiceJet,AI1268,0,2h 37m,Economy,Yes,25kg,Autumn,Foggy,7948
Air India,AI1182,0,1h 43m,Business,No,25kg,Summer,Clear,14090
Air India,AI1081,2,4h 24m,Economy,Yes,25kg,Spring,Clear,8318
Vistara,AI1455,0,2h 48m,Economy,No,20kg,Winter,Clear,5993
GoAir,AI1090,1,3h 13m,Business,Yes,25kg,Spring,Snowy,9372
Air India,AI1007,0,1h 18m,Business,Yes,15kg,Spring,Snowy,8792
GoAir,AI1181,2,3h 11m,Business,Yes,20kg,Autumn,Clear,11411
SpiceJet,AI1094,2,4h 20m,Business,No,20kg,Winter,Snowy,12696
IndiGo,AI1084,1,3h 11m,Economy,Yes,30kg,Summer,Stormy,4099
Vistara,AI1455,1,2h 8m,Economy,No,20kg,Summer,Foggy,4963
SpiceJet,AI1463,2,3h 42m,Economy,No,25kg,Summer,Foggy,7172
SpiceJet,AI1497,2,3h 22m,Business,Yes,25kg,Spring,Rainy,10292
GoAir,AI1460,2,3h 23m,Business,Yes,25kg,Summer,Stormy,11354
AirAsia India,AI1036,2,3h 38m,Business,No,30kg,Spring,Rainy,6765
GoAir,AI1294,2,4h 53m,Economy,Yes,30kg,Spring,Windy,10133
SpiceJet,AI1392,0,1h 0m,Economy,Yes,15kg,Summer,Snowy,6168
Air India,AI1276,2,3h 23m,Business,Yes,25kg,Spring,Windy,14156
AirAsia India,AI1424,1,3h 28m,Business,No,20kg,Spring,Stormy,13534
GoAir,AI1072,2,4h 47m,Business,Yes,25kg,Autumn,Rainy,10000
IndiGo,AI1178,0,2h 28m,Economy,No,30kg,Winter,Windy,7165
Air India,AI1074,0,2h 10m,Business,No,15kg,Autumn,Windy,9351
GoAir,AI1136,0,2h 32m,Business,Yes,30kg,Summer,Snowy,7324
SpiceJet,AI1112,0,1h 44m,Business,No,20kg,Summer,Snowy,11916
GoAir,AI1343,2,4h 29m,Business,Yes,30kg,Winter,Snowy,9552
SpiceJet,AI1086,1,2h 15m,Business,Yes,20kg,Autumn,Foggy,12349
IndiGo,AI1173,1,2h 30m,Business,Yes,20kg,Autumn,Foggy,9053
IndiGo,AI1332,2,3h 22m,Business,Yes,30kg,Winter,Foggy,8130
Akasa Air,AI1440,1,3h 19m,Business,No,25kg,Spring,Windy,6737
Vistara,AI1251,1,2h 18m,Economy,No,25kg,Spring,Clear,7147
Air India,AI1329,0,1h 30m,Business,Yes,20kg,Summer,Windy,7270
Akasa Air,AI1422,0,2h 45m,Economy,Yes,30kg,Autumn,Stormy,8391
Akasa Air,AI1165,2,4h 0m,Business,Yes,15kg,Summer,Stormy,9039
Vistara,AI1139,1,2h 0m,Economy,Yes,15kg,Spring,Windy,7538
GoAir,AI1453,0,2h 55m,Business,Yes,15kg,Autumn,Snowy,11698
SpiceJet,AI1353,1,2h 59m,Business,Yes,15kg,Winter,Windy,11858
SpiceJet,AI1083,1,2h 43m,Business,Yes,15kg,Summer,Windy,13721
SpiceJet,AI1117,0,1h 39m,Economy,No,20kg,Summer,Rainy,5134
IndiGo,AI1173,1,3h 34m,Economy,Yes,15kg,Winter,Stormy,4456
IndiGo,AI1014,2,3h 57m,Business,No,20kg,Winter,Stormy,8790
GoAir,AI1075,1,3h 1m,Business,No,30kg,Spring,Windy,14091
GoAir,AI1271,2,4h 25m,Business,No,30kg,Spring,Snowy,12153
Vistara,AI1295,1,3h 44m,Business,No,25kg,Spring,Foggy,13742
Vistara,AI1287,0,1h 48m,Business,No,20kg,Winter,Windy,11383
SpiceJet,AI1346,1,2h 59m,Business,No,15kg,Winter,Clear,7116
Akasa Air,AI1123,0,2h 24m,Business,No,15kg,Spring,Clear,5443
Akasa Air,AI1124,0,2h 21m,Economy,No,25kg,Summer,Windy,3949
IndiGo,AI1354,2,3h 27m,Business,Yes,30kg,Summer,Rainy,8848
IndiGo,AI1057,0,1h 54m,Business,No,25kg,Winter,Clear,11509
GoAir,AI1484,0,2h 27m,Economy,Yes,25kg,Autumn,Stormy,3370
IndiGo,AI1389,2,3h 40m,Business,Yes,30kg,Autumn,Stormy,12689
SpiceJet,AI1019,2,4h 52m,Economy,Yes,25kg,Autumn,Rainy,5034
Akasa Air,AI1251,0,2h 22m,Business,Yes,20kg,Autumn,Snowy,7334
SpiceJet,AI1400,2,4h 43m,Business,No,20kg,Spring,Foggy,9947
Air India,AI1472,2,3h 24m,Business,Yes,15kg,Spring,Clear,12421
AirAsia India,AI1393,1,3h 46m,Business,Yes,15kg,Summer,Windy,9394
IndiGo,AI1397,1,3h 15m,Economy,Yes,30kg,Summer,Foggy,9324
SpiceJet,AI1142,2,3h 47m,Economy,No,15kg,Spring,Snowy,6181
GoAir,AI1313,1,2h 47m,Economy,Yes,15kg,Winter,Foggy,5336
Air India,AI1429,0,1h 39m,Economy,Yes,30kg,Winter,Rainy,6124
Vistara,AI1425,1,2h 25m,Business,No,25kg,Winter,Clear,6967
GoAir,AI1106,1,2h 35m,Business,Yes,20kg,Summer,Windy,14438
SpiceJet,AI1086,1,3h 54m,Economy,No,30kg,Winter,Clear,5891
GoAir,AI1253,2,3h 56m,Economy,Yes,25kg,Summer,Windy,4267
IndiGo,AI1458,0,2h 38m,Business,Yes,20kg,Summer,Windy,12223
Vistara,AI1157,1,3h 42m,Business,Yes,15kg,Autumn,Snowy,10238
SpiceJet,AI1341,1,2h 49m,Economy,No,15kg,Winter,Snowy,4035
Air India,AI1127,2,4h 32m,Economy,No,30kg,Spring,Rainy,3782
IndiGo,AI1014,1,3h 36m,Economy,Yes,15kg,Summer,Snowy,8563
AirAsia India,AI1114,1,2h 4m,Economy,Yes,30kg,Autumn,Windy,4066
Akasa Air,AI1391,0,1h 25m,Economy,Yes,20kg,Spring,Rainy,6508
Air India,AI1361,0,2h 25m,Business,Yes,20kg,Summer,Snowy,15083
IndiGo,AI1478,1,2h 1m,Economy,No,25kg,Summer,Rainy,7035
Vistara,AI1242,1,3h 30m,Business,No,15kg,Summer,Rainy,10830
AirAsia India,AI1349,1,3h 55m,Business,Yes,20kg,Spring,Rainy,17822
Vistara,AI1015,2,3h 19m,Business,No,20kg,Spring,Snowy,8981
GoAir,AI1105,2,4h 5m,Economy,Yes,20kg,Summer,Foggy,8923
SpiceJet,AI1274,0,1h 26m,Business,Yes,25kg,Spring,Foggy,14204
Akasa Air,AI1288,0,2h 33m,Business,No,25kg,Summer,Rainy,5400
AirAsia India,AI1038,1,3h 44m,Economy,Yes,20kg,Winter,Stormy,6795
SpiceJet,AI1411,2,4h 5m,Business,Yes,25kg,Winter,Clear,11799
SpiceJet,AI1411,0,2h 27m,Business,No,20kg,Spring,Clear,7864
AirAsia India,AI1311,1,3h 10m,Business,Yes,30kg,Spring,Stormy,16427
AirAsia India,AI1070,2,3h 24m,Business,Yes,25kg,Autumn,Stormy,8604
AirAsia India,AI1009,2,3h 38m,Business,Yes,25kg,Autumn,Rainy,7560
SpiceJet,AI1418,0,2h 28m,Economy,Yes,15kg,Spring,Foggy,4939
IndiGo,AI1070,2,4h 20m,Business,Yes,25kg,Spring,Clear,17081
GoAir,AI1461,2,3h 53m,Economy,Yes,25kg,Autumn,Rainy,4008
GoAir,AI1336,1,2h 41m,Business,No,25kg,Summer,Snowy,13822
AirAsia India,AI1160,1,2h 29m,Business,No,15kg,Winter,Snowy,10918
Akasa Air,AI1279,2,4h 32m,Business,Yes,30kg,Autumn,Clear,12642
AirAsia India,AI1334,1,3h 8m,Business,Yes,30kg,Autumn,Rainy,14346
GoAir,AI1332,1,2h 59m,Economy,No,15kg,Spring,Windy,4401
Akasa Air,AI1350,1,2h 0m,Economy,Yes,15kg,Winter,Rainy,6064
GoAir,AI1418,0,2h 20m,Economy,Yes,30kg,Winter,Snowy,3848
SpiceJet,AI1353,1,2h 17m,Economy,Yes,30kg,Spring,Rainy,4330
Air India,AI1190,2,4h 0m,Economy,Yes,20kg,Winter,Stormy,5638
AirAsia India,AI1168,1,2h 11m,Economy,No,25kg,Spring,Stormy,7162
IndiGo,AI1394,2,3h 58m,Economy,No,30kg,Autumn,Windy,7331
AirAsia India,AI1327,0,1h 40m,Economy,Yes,20kg,Summer,Snowy,3695
Vistara,AI1499,0,1h 42m,Business,No,15kg,Winter,Snowy,9109
Akasa Air,AI1428,2,3h 27m,Economy,No,15kg,Winter,Rainy,6195
IndiGo,AI1007,2,4h 17m,Business,Yes,20kg,Summer,Clear,15194
AirAsia India,AI1167,1,3h 10m,Business,No,30kg,Summer,Windy,14129
Air India,AI1472,0,1h 56m,Business,No,15kg,Winter,Rainy,7912
SpiceJet,AI1434,0,1h 9m,Economy,No,30kg,Spring,Snowy,4757
Akasa Air,AI1375,0,1h 43m,Economy,No,20kg,Summer,Windy,7574
SpiceJet,AI1112,2,3h 36m,Economy,No,25kg,Autumn,Windy,8400
GoAir,AI1139,2,3h 12m,Business,No,30kg,Winter,Clear,12672
SpiceJet,AI1061,0,1h 33m,Business,Yes,30kg,Summer,Snowy,12601
SpiceJet,AI1308,0,1h 13m,Business,No,30kg,Winter,Foggy,10035
AirAsia India,AI1255,2,4h 34m,Business,No,30kg,Spring,Foggy,12825
GoAir,AI1296,1,2h 41m,Business,No,15kg,Autumn,Windy,10198
GoAir,AI1036,0,2h 26m,Economy,Yes,15kg,Autumn,Clear,4129
AirAsia India,AI1414,2,3h 18m,Business,No,20kg,Winter,Snowy,12253
Air India,AI1367,0,1h 19m,Business,Yes,30kg,Summer,Foggy,10701
Air India,AI1258,0,2h 24m,Business,No,20kg,Summer,Foggy,6366
Vistara,AI1051,0,2h 53m,Business,No,20kg,Winter,Snowy,6005
Vistara,AI1454,2,3h 4m,Economy,No,20kg,Spring,Windy,4030
Air India,AI1327,0,2h 6m,Economy,Yes,30kg,Autumn,Stormy,7093
Air India,AI1397,0,1h 1m,Economy,Yes,25kg,Summer,Rainy,5635
Air India,AI1425,1,3h 49m,Economy,Yes,20kg,Summer,Stormy,4163
GoAir,AI1044,1,3h 36m,Economy,No,15kg,Spring,Snowy,6469
SpiceJet,AI1420,1,2h 42m,Business,No,25kg,Spring,Windy,8375
Air India,AI1366,1,2h 1m,Economy,Yes,30kg,Autumn,Snowy,5110
GoAir,AI1438,1,3h 9m,Business,No,30kg,Autumn,Snowy,8439
Akasa Air,AI1016,2,4h 58m,Economy,Yes,15kg,Summer,Snowy,7726
Akasa Air,AI1224,2,3h 21m,Business,Yes,25kg,Autumn,Stormy,10467
IndiGo,AI1070,1,3h 51m,Business,Yes,20kg,Spring,Rainy,15482
Vistara,AI1290,1,3h 46m,Economy,Yes,25kg,Winter,Rainy,8492
IndiGo,AI1160,2,4h 43m,Economy,Yes,20kg,Summer,Windy,8762
SpiceJet,AI1227,0,2h 28m,Business,No,25kg,Summer,Windy,13566
IndiGo,AI1246,1,2h 35m,Business,No,30kg,Spring,Stormy,6691
Akasa Air,AI1128,1,3h 37m,Business,Yes,25kg,Autumn,Rainy,17915
GoAir,AI1036,0,2h 20m,Economy,Yes,25kg,Winter,Snowy,7179
Air India,AI1051,0,1h 19m,Business,Yes,30kg,Summer,Windy,13603
IndiGo,AI1470,1,2h 24m,Economy,No,25kg,Spring,Snowy,7316
Akasa Air,AI1402,0,2h 15m,Economy,Yes,30kg,Winter,Stormy,7378
SpiceJet,AI1342,0,2h 43m,Business,Yes,20kg,Autumn,Rainy,15968
SpiceJet,AI1316,0,2h 27m,Business,Yes,15kg,Summer,Foggy,7237
GoAir,AI1202,2,4h 52m,Business,No,25kg,Autumn,Snowy,5707
Akasa Air,AI1401,0,1h 18m,Economy,Yes,15kg,Spring,Foggy,5186
AirAsia India,AI1421,0,2h 39m,Economy,Yes,30kg,Spring,Stormy,3695
IndiGo,AI1389,1,2h 8m,Economy,No,25kg,Spring,Clear,6928
Akasa Air,AI1129,1,3h 22m,Business,Yes,20kg,Winter,Clear,8622
GoAir,AI1350,1,2h 47m,Economy,No,30kg,Autumn,Rainy,6266
AirAsia India,AI1066,2,3h 36m,Business,No,30kg,Summer,Stormy,7006
IndiGo,AI1101,2,4h 44m,Economy,Yes,15kg,Winter,Windy,5907
AirAsia India,AI1191,2,3h 52m,Economy,No,30kg,Spring,Clear,4495
IndiGo,AI1219,1,4h 0m,Economy,No,15kg,Winter,Foggy,6398
GoAir,AI1082,1,2h 48m,Business,No,25kg,Spring,Clear,15808
Air India,AI1480,1,2h 7m,Business,No,15kg,Winter,Clear,9092
Air India,AI1422,1,2h 35m,Economy,No,20kg,Winter,Snowy,6401
Vistara,AI1203,0,1h 59m,Business,Yes,20kg,Spring,Rainy,14601
AirAsia India,AI1378,2,3h 21m,Business,Yes,25kg,Winter,Clear,9565
AirAsia India,AI1212,0,2h 22m,Economy,No,15kg,Spring,Foggy,5515
SpiceJet,AI1419,2,4h 47m,Economy,No,15kg,Summer,Stormy,3724
AirAsia India,AI1233,2,4h 21m,Business,Yes,30kg,Summer,Windy,17950
AirAsia India,AI1254,0,2h 16m,Economy,Yes,30kg,Summer,Snowy,5803
AirAsia India,AI1047,0,1h 22m,Economy,Yes,20kg,Autumn,Windy,7387
IndiGo,AI1286,2,3h 3m,Business,No,15kg,Autumn,Snowy,5752
Air India,AI1227,1,3h 51m,Economy,Yes,25kg,Autumn,Stormy,5368
IndiGo,AI1288,1,3h 11m,Economy,Yes,25kg,Winter,Snowy,4395
Air India,AI1172,1,2h 45m,Business,Yes,25kg,Autumn,Clear,11792
Akasa Air,AI1274,0,1h 8m,Business,Yes,15kg,Autumn,Snowy,14861
Vistara,AI1325,1,3h 54m,Economy,Yes,25kg,Summer,Stormy,9471
SpiceJet,AI1379,0,1h 55m,Economy,Yes,30kg,Winter,Clear,7478
GoAir,AI1185,0,1h 8m,Business,No,25kg,Winter,Foggy,6739
Akasa Air,AI1020,0,2h 20m,Economy,Yes,30kg,Summer,Clear,4880
Air India,AI1024,1,3h 59m,Economy,No,25kg,Spring,Snowy,6598
Vistara,AI1349,0,2h 33m,Business,Yes,15kg,Winter,Windy,10737
Akasa Air,AI1400,1,2h 5m,Business,Yes,20kg,Spring,Snowy,11427
IndiGo,AI1359,2,4h 10m,Economy,Yes,20kg,Autumn,Rainy,4711
Vistara,AI1112,2,3h 57m,Business,Yes,30kg,Winter,Stormy,9079
SpiceJet,AI1237,1,3h 19m,Business,Yes,30kg,Spring,Stormy,15792
SpiceJet,AI1373,2,4h 49m,Business,No,15kg,Autumn,Windy,9068
IndiGo,AI1252,1,3h 13m,Business,No,25kg,Winter,Snowy,6759
AirAsia India,AI1350,0,2h 36m,Economy,Yes,25kg,Winter,Stormy,8573
GoAir,AI1330,2,4h 11m,Economy,No,15kg,Summer,Windy,8495
AirAsia India,AI1386,2,3h 22m,Business,No,30kg,Autumn,Clear,14184
IndiGo,AI1414,1,3h 31m,Business,Yes,25kg,Summer,Stormy,7948
Vistara,AI1310,1,2h 48m,Economy,Yes,15kg,Summer,Rainy,3970
AirAsia India,AI1133,1,3h 25m,Business,No,30kg,Spring,Clear,9561
SpiceJet,AI1352,2,4h 50m,Economy,No,15kg,Spring,Foggy,3913
Air India,AI1275,2,3h 28m,Economy,Yes,20kg,Autumn,Stormy,9354
SpiceJet,AI1408,2,4h 33m,Economy,Yes,15kg,Autumn,Snowy,4149
Air India,AI1335,1,3h 0m,Business,No,20kg,Spring,Windy,12420
Vistara,AI1234,2,4h 51m,Business,Yes,15kg,Autumn,Rainy,16767
Vistara,AI1392,2,4h 52m,Business,Yes,25kg,Autumn,Windy,7482
Air India,AI1008,0,1h 47m,Business,Yes,15kg,Autumn,Foggy,9335
Akasa Air,AI1275,0,2h 58m,Business,No,30kg,Winter,Clear,5886
AirAsia India,AI1429,2,3h 25m,Business,Yes,30kg,Autumn,Snowy,8130
GoAir,AI1442,1,3h 1m,Economy,Yes,15kg,Autumn,Clear,9431
Akasa Air,AI1149,2,4h 46m,Business,No,15kg,Autumn,Rainy,10050
Air India,AI1239,0,1h 18m,Economy,Yes,15kg,Summer,Clear,5530
Akasa Air,AI1180,0,2h 16m,Economy,Yes,30kg,Spring,Clear,7846
SpiceJet,AI1248,0,1h 10m,Business,No,25kg,Spring,Rainy,9522
IndiGo,AI1018,2,3h 36m,Business,No,20kg,Winter,Foggy,12750
Akasa Air,AI1356,1,2h 50m,Business,Yes,15kg,Winter,Stormy,12853
GoAir,AI1142,1,2h 23m,Economy,Yes,25kg,Spring,Stormy,7472
Akasa Air,AI1257,0,1h 6m,Economy,No,20kg,Autumn,Clear,6435
SpiceJet,AI1229,1,3h 20m,Economy,No,20kg,Winter,Clear,3771
GoAir,AI1015,0,2h 37m,Economy,No,15kg,Autumn,Foggy,3350
Air India,AI1241,1,2h 58m,Business,Yes,20kg,Spring,Windy,17404
Air India,AI1091,0,1h 40m,Economy,No,15kg,Winter,Snowy,5759
SpiceJet,AI1313,1,2h 48m,Business,No,15kg,Summer,Rainy,8217
SpiceJet,AI1041,1,2h 47m,Economy,No,30kg,Spring,Clear,4378
Air India,AI1051,0,1h 50m,Business,Yes,20kg,Winter,Clear,8175
GoAir,AI1259,2,3h 3m,Economy,No,20kg,Summer,Stormy,4882
AirAsia India,AI1289,1,3h 19m,Economy,No,30kg,Winter,Foggy,4267
Vistara,AI1028,1,3h 26m,Economy,Yes,20kg,Summer,Foggy,4287
Vistara,AI1159,0,2h 39m,Economy,No,30kg,Spring,Stormy,6618
AirAsia India,AI1067,1,2h 13m,Economy,No,15kg,Spring,Clear,5060
IndiGo,AI1295,0,1h 7m,Business,Yes,20kg,Winter,Clear,15990
Akasa Air,AI1213,2,4h 39m,Business,Yes,25kg,Winter,Foggy,15122
Akasa Air,AI1281,2,4h 6m,Business,Yes,15kg,Spring,Stormy,11059
GoAir,AI1318,1,2h 38m,Business,No,30kg,Winter,Windy,11363
Air India,AI1272,0,1h 33m,Economy,Yes,15kg,Spring,Foggy,6766
IndiGo,AI1198,0,1h 6m,Economy,No,15kg,Autumn,Clear,6732
GoAir,AI1356,1,3h 9m,Economy,No,25kg,Spring,Foggy,7127
AirAsia India,AI1058,0,1h 52m,Business,No,30kg,Spring,Rainy,13505
AirAsia India,AI1122,0,2h 19m,Business,No,30kg,Winter,Clear,5868
SpiceJet,AI1099,1,3h 52m,Business,Yes,15kg,Winter,Stormy,8055
SpiceJet,AI1134,2,3h 18m,Economy,Yes,30kg,Winter,Foggy,7170
Vistara,AI1136,0,2h 29m,Economy,No,20kg,Summer,Windy,4710
Air India,AI1214,2,3h 13m,Business,No,25kg,Summer,Snowy,9638
AirAsia India,AI1302,0,2h 26m,Business,No,20kg,Autumn,Stormy,7586
Akasa Air,AI1471,0,2h 31m,Business,No,25kg,Autumn,Snowy,8078
IndiGo,AI1285,2,3h 10m,Business,No,15kg,Spring,Snowy,7336
Air India,AI1009,0,2h 22m,Business,No,20kg,Autumn,Foggy,6454
Vistara,AI1127,1,3h 8m,Business,No,30kg,Spring,Clear,7492
GoAir,AI1188,1,2h 33m,Economy,Yes,20kg,Spring,Foggy,8705
Vistara,AI1128,1,3h 42m,Business,No,15kg,Summer,Foggy,12650
AirAsia India,AI1401,2,3h 6m,Business,No,25kg,Autumn,Foggy,12408
Akasa Air,AI1204,1,2h 42m,Economy,Yes,25kg,Autumn,Foggy,9376
Akasa Air,AI1436,1,2h 41m,Economy,Yes,20kg,Autumn,Windy,4790
